fips,white,black,hispanic,asian,no_high_sch,high_sch%,some_col%,college%,unemployment,med_hh_income,med_hh_income_pct_state,rural_urban_continuum,urban_influence,metro_code,population,pop_change,nat_incr_rate,intl_migration,poverty_pct,child_poverty,ppl_per_sq_mi,majority
20191,91.3,3.4,4.5,0.2,7.7,34.9,34.1,23.3,3.4,53618,86.44160461,2,2,1,22836,-183,-0.1,9,11.4,810,20.4,R
20193,92.9,1.7,4.7,0.5,6.7,26.4,44.3,22.6,2.3,58652,94.55729675,7,11,0,7777,67,7.4,11,9.1,174,7.4,R
20195,96.7,1.2,1.7,0.2,6.8,31.1,37.3,24.8,2.8,52597,84.795578,9,10,0,2803,6,-7.9,2,10.8,69,3.4,R
20197,94.5,2.5,2.9,0.1,4.6,34.9,36.3,24.2,3.2,66168,106.674408,3,2,1,6931,19,3.3,2,6.9,143,8.9,R
20199,91.2,1.3,7.3,0.1,5.3,25.8,36.4,32.4,2.6,54714,88.2085495,9,12,0,1518,29,5.3,0,12.1,66,1.6,R
20201,95.8,1.3,2.5,0.3,8.4,40.7,30.5,20.3,2.6,46263,74.58406067,9,12,0,5406,-44,-2.4,3,9.5,153,6.5,R
20203,73.7,2.6,24.6,0.1,13.4,27.5,38.5,20.6,2,54009,87.07196808,9,12,0,2119,7,5.7,0,11,89,3.1,R
20205,94.2,2.6,2.3,0.4,11.5,33.9,38.1,16.5,4,46243,74.55181885,7,10,0,8525,-141,-0.3,1,13.3,348,16.5,R
20207,94.9,2.3,2.1,0.1,9.3,35.2,38.3,17.2,4.2,43751,70.53427124,9,12,0,3138,-46,-1.6,0,14.3,146,6.6,R
20209,43.3,29,26.4,2.5,21.1,32.1,28.6,18.1,4.3,47292,76.24298859,1,1,1,165429,108,6.4,500,20.6,13872,1039,D
21001,94.1,3.8000000000000003,1.7,0.2,20.4,39,24.9,15.7,5.3,37650,72.04914093,7,9,0,19202,3,-1.7,-1,21.4,1081,46,R
21003,96.2,2.1,1.5,0.2,17.9,38.5,27.5,16.1,4.2,47307,90.52931976,3,2,1,21315,193,-0.1,1,16.8,1156,58,R
21005,94.8,3.3000000000000003,1.3,0.5,10.1,36.6,33.1,20.2,3.7,61308,117.3224106,6,3,0,22747,106,1.8,6,10.2,737,106.1,R
21007,94.1,4.7,1.1,0.2,12.8,36.4,34.8,15.9,5.7,48053,91.95690155,9,8,0,7888,-104,-2.8,0,15.5,383,33.4,R
21009,91.5,5.5,2.6,0.4,17,42,24.7,16.3,4.5,44859,85.84468842,6,5,0,44249,134,0.9,0,20.1,2605,86.5,R
21011,96,2.4,1.4,0.1,23.1,41.2,21.2,14.5,6.2,42248,80.84812927,8,5,0,12500,56,2.6,-2,19.4,913,41.6,R
21013,95.09999999999998,3.7999999999999994,0.6999999999999998,0.3,30.4,38.5,22,9.2,6.4,30940,59.20851135,7,8,0,26032,-455,-2.4,5,30.3,2195,79.9,R
21015,90,4.3,3.5,2.1,6.9,27.5,33.5,32.1,3.4,78806,150.8075562,1,1,1,133581,1680,5.6,0,7.1,2927,482.3,R
21017,85.2,7.8,6.8,0.3,16,35.6,28.9,19.4,3.8,47046,90.02985382,2,2,1,19788,-328,-1.4,-3,14.1,874,69,R
21019,93.8,4.2,1.3999999999999997,0.5,11.8,33.9,35,19.4,5.7,50017,95.7153244,2,2,1,46718,-574,-2.2,-11,20.6,3086,309.9,R
21021,86.9,9.6,2.8,0.8,12.9,33.5,28.5,25.2,4.7,53644,102.6561508,7,8,0,30060,-22,-0.2,-2,15.5,1095,157.8,R
21023,97.2,1.4,1.1,0.1,14.3,46.4,26.2,13.2,4.9,53289,101.9768066,1,1,1,8303,25,-0.4,2,14.1,364,41.3,R
21025,97.8,0.8000000000000002,0.6,0.5,24.4,36.7,23.7,15.2,7.5,33407,63.92950058,7,12,0,12630,-157,-3.5,0,29.2,941,28.2,R
21027,95.4,3.3,0.9000000000000001,0.2,15.9,44.9,27.2,11.9,5.3,46069,88.16020966,8,7,0,20477,168,0.8,9,18.3,1112,35.4,R
21029,96,1.8000000000000003,1.4,0.5,11.5,41.6,32.1,14.7,4.1,66335,126.9423599,1,1,1,81676,667,1.5,-8,7.8,1923,250.2,R
21031,96,1.3,2.5,0.2,20.4,42.9,22.8,13.9,4.8,46305,88.61183167,3,2,1,12879,136,0.9,0,18,760,29.8,R
21033,92.1,6.5,1,0.3,13,45,26.7,15.3,5,44144,84.47642517,7,9,0,12747,31,-2,-1,15.8,621,37.7,R
21035,90.5,5.2,2.4,1.8,10.5,32.1,28.9,28.5,4.1,45574,87.21295166,7,8,0,39001,37,-1.2,14,16.5,1306,96.6,R
21037,93.4,4.1,1.6999999999999997,0.8,9.2,28.2,26.2,36.3,3.5,66520,127.2963867,1,1,1,93584,120,2.7,-1,10.9,2413,597,R
21039,96.1,1.7,1.6,0.3,16.7,40.4,28,14.9,4.2,49659,95.03023529,9,10,0,4760,21,1.1,0,15.5,265,26.9,R
21041,88.6,3.7999999999999994,7.300000000000001,0.6,21.7,40.3,29.8,8.2,4,51672,98.8824234,6,4,0,10631,-81,1.5,0,15.2,590,84.1,R
21043,97.2,1.4,1.2,0.2,20.8,40.3,26.3,12.6,8.3,43492,83.22872162,6,6,0,26797,-243,-1,3,20,1612,67.7,R
21045,96.1,1.4,2.4,0.2,24,40.6,22.7,12.8,4.2,34751,66.50145721,9,10,0,16159,233,-1.1,-2,25.2,1179,35.9,R
21047,68.6,24.5,6.1,1,14.4,31,36.4,18.1,5.6,46390,88.77449799,2,2,1,70461,-251,11.9,-62,18.9,4559,103.1,R
21049,91,6.2,2.5,0.4,13.8,34.3,31.8,20.1,3.9,55428,106.0701141,2,2,1,36263,83,0.3,-10,13,1430,141.1,R
21051,92.9,5.1,1.8,0.1,35.3,35.3,19.5,9.8,7,30175,57.74456406,7,10,0,19901,-187,-0.3,-3,32.6,1680,46.3,R
21053,96,1.6,2.2,0.1,26.8,39.8,23.2,10.3,5.5,34005,65.0738678,9,12,0,10218,66,1.2,-2,23.4,708,52.1,R
21055,97.3,1.5,0.5,0.2,16.2,42,28.8,13.1,4.9,44595,85.33948517,7,9,0,8806,-90,-2.3,-2,19.2,609,25.9,R
21057,94.9,3.8999999999999995,0.9000000000000001,0.1,18.2,43,25.4,13.3,4.2,34897,66.78084564,9,10,0,6614,-79,-5.6,0,23,449,22.5,R
21059,90,6.6,2.6,0.7,10,34.1,32.9,22.9,3.9,52620,100.6965714,3,2,1,101511,628,2.5,42,15.4,4648,210.9,R
21061,96.5,2.3,0.8,0.2,21.9,39.3,28.5,10.3,4.9,47482,90.86420441,3,2,1,12150,-99,-2.8,-5,16,462,40.2,R
